"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"M. Vijaya Shanthi","Elected","18/05/2009","In office","Andhra Pradesh","Medak","Telangana Rashtra Samithi","Female","Matric","S.S.C.",46,0,0,0,"13%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.852374108945,78.2895506247317,-78.2895506247317
"Madan Lal Sharma","Elected","18/05/2009","In office","Jammu and Kashmir","Jammu","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Govt. Higher Secondary School, Pallanwalla; Jammu & Kashmir",60,17,0,79,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",32.7651126643825,74.8722993507674,-74.8722993507674
"Madhu Goud Yaskhi","Elected","18/05/2009","In office","Andhra Pradesh","Nizamabad","Indian National Congress","Male","Post Graduate","B.A., LL.B., LL.M.; Educated at Nizam College, Osmania University; Campus Law Centre, University of Delhi and P.G. College of Law, Osmania University",51,11,0,410,"74%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",18.5403621938895,78.1010706863931,-78.1010706863931
"Madhu Kora","Elected","18/05/2009","In office","Jharkhand","Singhbhum","Independent","Male","Graduate","Educated at Ignou, Bhubneshwar, Orrisa",41,10,0,51,"28%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",16.1347315177502,73.7621937956692,-73.7621937956692
"Madhusudan Yadav","Elected","18/05/2009","In office","Chhattisgarh","Rajnandgaon","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Higher Secondary; Educated at Higher Secondary School, Rajnandgaon, Chattisgarh",42,10,0,83,"38%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",20.9724653830166,80.8035729543786,-80.8035729543786
"Magunta Srinivasulu Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Ongole","Indian National Congress","Male","Graduate","B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",58,3,0,631,"59%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",20.5403801182094,82.5971092113033,-82.5971092113033
"Mahabal Mishra","Elected","18/05/2009","In office","Delhi","West Delhi","Indian National Congress","Male","Inter/ Higher Secondary","Intermediate (Science); Educated at L.S. College Muzaffarpur",59,28,0,247,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.5,4.3,226,"96%",28.6554106984511,77.0686999609397,-77.0686999609397
"Mahabali Singh","Elected","18/05/2009","In office","Bihar","Karakat","Janata Dal (United)","Male","Under Matric","High School, Bhagwanpur, Distt. Kaimur",57,16,0,37,"90%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",10.9155216522847,79.786328587477,-79.786328587477
"Mahadeo Singh Khandela","Elected","18/05/2009","In office","Rajasthan","Sikar","Indian National Congress","Male","Post Graduate","M.A. (Eco.); Educated at University of Rajasthan, Jaipur",68,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27.662050102557,75.3892536690303,-75.3892536690303
"Mahendra Kumar Roy","Elected","18/05/2009","In office","West Bengal","Jalpaiguri","Communist Party of India (Marxist)","Male","Graduate","B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri",56,31,0,133,"92%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.6292135743241,89.1398618087359,-89.1398618087359
"Mahendrasinh Pruthvisinh Chauhan","Elected","18/05/2009","In office","Gujarat","Sabarkantha","Bharatiya Janata Party","Male","Graduate","B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad",58,121,10,532,"99%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",23.7766928126784,73.1916797263807,-73.1916797263807
"Mahesh Joshi","Elected","18/05/2009","In office","Rajasthan","Jaipur","Indian National Congress","Male","Doctorate","M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan",57,10,0,287,"95%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",27.1516557881634,75.6050198745121,-75.6050198745121
"Maheshwar Hazari","Elected","18/05/2009","In office","Bihar","Samastipur","Janata Dal (United)","Male","Graduate","B.A.; Educated at V.R.V. College, Samastipur, Bihar",49,30,0,321,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.776852565386,85.9631080150817,-85.9631080150817
"Makhansingh Solanki","Elected","18/05/2009","In office","Madhya Pradesh","Khargone","Bharatiya Janata Party","Male","Under Matric",,60,8,0,90,"83%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",17.7021358885742,80.7979331690055,-80.7979331690055
"Mallikarjun Kharge","Elected","18/05/2009","In office","Karnataka","Gulbarga","Indian National Congress","Male","Graduate","B.A., LL.B; Educated at Karnataka University, Karnataka",70,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",16.9805006155102,76.8793434202204,-76.8793434202204
"Mallipudi Raju Pallam Mangapati","Elected","18/05/2009","In office","Andhra Pradesh","Kakinada","Indian National Congress","Male","Post Graduate","B.E., M.B.A., F.I.E.T.E.; Educated at Andhra University, Visakhapatnam, India and Temple University, Philadelphia, USA",50,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",29.8619233975073,76.4609116486122,-76.4609116486122
"Mamata Banerjee","Elected","18/05/2009","09-10-2011","West Bengal","Kolkata Dakshin","All India Trinamool Congress","Female","Post Graduate","M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",57,"N/A","N/A","N/A","N/A","This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.5658448402431,88.3425015162713,-88.3425015162713
"Maneka Gandhi","Elected","18/05/2009","In office","Uttar Pradesh","Aonla","Bharatiya Janata Party","Female","Inter/ Higher Secondary","I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",56,6,1,212,"73%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",21.1026700826064,84.8307683570462,-84.8307683570462
"Mangani Lal Mandal","Elected","18/05/2009","In office","Bihar","Jhanjharpur","Janata Dal (United)","Male","Post Graduate","M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",64,42,0,223,"96%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",24.3144955490738,76.2031297780977,-76.2031297780977
"Manicka Tagore","Elected","18/05/2009","In office","Tamil Nadu","Virudhunagar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Bangalore University",37,23,0,280,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",9.4917899529375,77.8795782318825,-77.8795782318825
"Manikrao Hodlya Gavit","Elected","18/05/2009","In office","Maharashtra","Nandurbar","Indian National Congress","Male","Matric",,77,8,0,148,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.512899986958,74.176841296382,-74.176841296382
"Manish Tewari","Elected","18/05/2009","In office","Punjab","Ludhiana","Indian National Congress","Male","Graduate","B.A. (Hons.) Economics, LL.B; Educated at Punjab University, Chandigarh and University of Delhi, New Delhi",46,37,6,309,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.7895991688195,75.8651546351826,-75.8651546351826
"Manohar Tirkey","Elected","18/05/2009","In office","West Bengal","Alipurduars","Revolutionary Socialist Party","Male","Inter/ Higher Secondary","Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal",58,24,0,445,"60%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",27.8982601660112,78.0500011481573,-78.0500011481573
"Mansukhbhai D. Vasava","Elected","18/05/2009","In office","Gujarat","Bharuch","Bharatiya Janata Party","Male","Post Graduate","B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",55,35,0,583,"82%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",21.8201448937259,72.9513676644404,-72.9513676644404
"Marotrao Sainuji Kowase","Elected","18/05/2009","In office","Maharashtra","Gadchiroli-Chimur","Indian National Congress","Male","Post Graduate","M.A. (Political Science); Educated at Nagpur University, Maharashtra",62,14,0,323,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.7557590108765,80.3216829372074,-80.3216829372074
"Mausam Noor","Elected","18/05/2009","In office","West Bengal","Maldaha Uttar","Indian National Congress","Female","Graduate","LL.B.; Educated at Calcutta University",32,3,0,3,"73%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.097910729669,88.1155414611021,-88.1155414611021
"Meena Singh","Elected","18/05/2009","In office","Bihar","Arrah","Janata Dal (United)","Female","Graduate","B.A.; Educated at Banaras Hindu University (B.H.U.) ",50,21,0,326,"88%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.2647219619905,87.3677183275931,-87.3677183275931
"Meenakshi Natrajan","Elected","18/05/2009","In office","Madhya Pradesh","Mandsour","Indian National Congress","Female","Post Graduate","M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",39,14,0,132,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",24.2611069607025,75.4042590453189,-75.4042590453189
"Meira Kumar","Elected","18/05/2009","In office","Bihar","Sasaram","Indian National Congress","Female","Post Graduate","M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",67,"N/A","N/A","N/A","N/A","As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.9224701409778,84.8066629190808,-84.8066629190808
"Mekapati Rajamohan Reddy","Elected","15/06/2012","In office","Andhra Pradesh","Nellore","Yuvajana Sramika Rythu Congress Party","Male","Graduate","B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",68,4,0,207,"59%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",22.1,0.5,182,"77%",12.4,0.4,226,"70%",14.3126725344169,79.6706767499845,-79.6706767499845
"Milind Murli Deora","Elected","18/05/2009","In office","Maharashtra","Mumbai-South","Indian National Congress","Male","Graduate","BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",35,0,0,274,"88%","This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",12.1,0.8,201,"74%",19.1111742123534,72.876151679526,-72.876151679526
"Mirza Mehboob Beg","Elected","18/05/2009","In office","Jammu and Kashmir","Anantnag","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at Srinagar Medical College",63,43,0,17,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",33.8355101108237,75.0422212721409,-75.0422212721409
"Mithlesh Kumar","Elected","18/05/2009","In office","Uttar Pradesh","Shahjahanpur","Samajwadi Party","Male","Graduate","B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",47,18,0,128,"88%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",27.9641777249208,79.8513211260471,-79.8513211260471
"Modugula Venugopala Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Narasaraopet","Telugu Desam Party","Male","Graduate","B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",46,20,0,262,"64%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",21.512899986958,74.176841296382,-74.176841296382
"Mohammed Azharuddin","Elected","18/05/2009","In office","Uttar Pradesh","Moradabad","Indian National Congress","Male","Graduate","B.Com; Educated at Nizam College (Osmania University) ",49,2,0,5,"76%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.8079120058338,78.6870428986666,-78.6870428986666
"Mohan Jena","Elected","18/05/2009","In office","Orissa","Jajpur","Biju Janata Dal","Male","Post Graduate","M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",55,21,2,42,"74%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.8734811073206,86.1554410798511,-86.1554410798511
"Mohinder Singh Kaypee","Elected","18/05/2009","In office","Punjab","Jalandhar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Punjab University, Chandigarh",55,8,0,4,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.2929578928871,75.5377037522838,-75.5377037522838
"Monazir Hassan","Elected","18/05/2009","In office","Bihar","Begusarai","Janata Dal (United)","Male","Doctorate","M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",55,8,0,23,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.5130277754323,86.1258068022256,-86.1258068022256
"Mukul Balkrishna Wasnik","Elected","18/05/2009","In office","Maharashtra","Ramtek","Indian National Congress","Male","Post Graduate","M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",52,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.7753355189536,79.1265012893445,-79.1265012893445
"Mulayam Singh Yadav","Elected","18/05/2009","In office","Uttar Pradesh","Mainpuri","Samajwadi Party","Male","Post Graduate","B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",72,94,0,0,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",27.199952697634,79.0648013703236,-79.0648013703236
"Munde Gopinathrao Pandurang","Elected","18/05/2009","In office","Maharashtra","Beed","Bharatiya Janata Party","Male","Graduate","B.Com., B.G.L.; Educated at Marathwada and Pune University",62,27,0,286,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.6445640264447,84.1842907656705,-84.1842907656705
"Munisamy Thambidurai","Elected","18/05/2009","In office","Tamil Nadu","Karur","All India Anna Dravida Munnetra Kazhagam","Male","Doctorate","M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",65,68,0,265,"82%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",29.7157422936184,76.8580219122405,-76.8580219122405
"Murarilal Singh","Elected","18/05/2009","In office","Chhattisgarh","Surguja","Bharatiya Janata Party","Male","Inter/ Higher Secondary",,60,3,0,62,"69%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",23.3661485550747,83.2882178797821,-83.2882178797821
"Murli Manohar Joshi","Elected","18/05/2009","In office","Uttar Pradesh","Varanasi","Bharatiya Janata Party","Male","Doctorate","M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",78,26,0,443,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.3733768845912,82.9330218085245,-82.9330218085245
"N Cheluvaraya Swamy @ Swamygowda","Elected","18/05/2009","In office","Karnataka","Mandya","Janata Dal (Secular)","Male","Diploma Course","Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",52,17,0,696,"62%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.6363231560219,76.8326451769164,-76.8326451769164
"N. Peethambara Kurup","Elected","18/05/2009","In office","Kerala","Kollam","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Kerala University, Kerala",70,16,0,120,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",50.6,1.1,299,"84%",8.9660188777091,76.8723041385066,-76.8723041385066
"N.Dharam Singh","Elected","18/05/2009","In office","Karnataka","Bidar","Indian National Congress","Male","Post Graduate","MA, LL.B.; Educated at Osmania University, Hyderabad",75,2,0,4,"70%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",18.0300848265513,77.1747385387686,-77.1747385387686
"N.S.V. Chitthan","Elected","18/05/2009","In office","Tamil Nadu","Dindigul","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",78,43,2,312,"92%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.4259483102537,77.8026704047812,-77.8026704047812
"Nalin Kumar Kateel","Elected","18/05/2009","In office","Karnataka","Dakshina Kannada","Bharatiya Janata Party","Male","Matric","Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",45,6,0,128,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.8217227106358,75.2217549765702,-75.2217549765702
"Nama Nageswara Rao","Elected","18/05/2009","In office","Andhra Pradesh","Khammam","Telugu Desam Party","Male","Inter/ Higher Secondary",,55,79,0,326,"83%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.7021358885742,80.7979331690055,-80.7979331690055
"Namo Narain Meena","Elected","18/05/2009","In office","Rajasthan","Tonk-Sawai Madhopur","Indian National Congress","Male","Post Graduate","M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",68,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.1204462168461,75.7204385095376,-75.7204385095376
"Narahari Mahato","Elected","18/05/2009","In office","West Bengal","Purulia","All India Forward Bloc","Male","Post Graduate","B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",56,49,0,487,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.7794576174496,87.4287932703334,-87.4287932703334
"Naramalli Sivaprasad","Elected","18/05/2009","In office","Andhra Pradesh","Chittoor","Telugu Desam Party","Male","Graduate","M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",61,5,0,12,"57%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",13.3081280949068,79.0598228866808,-79.0598228866808
"Naranbhai Kachhadia","Elected","18/05/2009","In office","Gujarat","Amreli","Bharatiya Janata Party","Male","Under Matric","Educated at Charkhadiya, Govt. of Primary School",57,66,0,535,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",21.3671404712057,71.1600580719249,-71.1600580719249
"Narayan Singh Amlabe","Elected","18/05/2009","In office","Madhya Pradesh","Rajgarh","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Board, Bhopal",61,49,0,114,"95%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.868205335939,76.7158500082723,-76.7158500082723
"Narendra Singh Tomar","Elected","18/05/2009","In office","Madhya Pradesh","Morena","Bharatiya Janata Party","Male","Graduate","Educated at Jiwaji University, Gwalior, Madhya Pradesh",55,8,0,170,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",26.3852276874401,77.8297873527295,-77.8297873527295
"Natubhai Gomanbhai Patel","Elected","18/05/2009","In office","Dadra and Nagar Haveli","Dadra and Nagar Haveli","Bharatiya Janata Party","Male","Under Matric",,40,2,0,33,"50%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",2,0,33,"50%",20.2063912630196,73.0654963861913,-73.0654963861913
"Naveen Jindal","Elected","18/05/2009","In office","Haryana","Kurukshetra","Indian National Congress","Male","Post Graduate","MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",42,14,0,362,"82%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",30.0532628097961,76.775047533525,-76.775047533525
"Navjot Singh Sidhu","Elected","18/05/2009","In office","Punjab","Amritsar","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.",48,3,0,99,"28%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.5692252445246,74.9454663389153,-74.9454663389153
"Neeraj Shekhar","Elected","18/05/2009","In office","Uttar Pradesh","Ballia","Samajwadi Party","Male","Graduate","B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College",43,26,0,554,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.8757675788276,84.1581610702345,-84.1581610702345
