"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Mamata Banerjee","Elected",18/05/2009,"09-10-2011","West Bengal","Kolkata Dakshin","All India Trinamool Congress","Female","Post Graduate","M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",57,"N/A","N/A","N/A","N/A","This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.565845,88.3425015162713,-088.342502
"Maneka Gandhi","Elected",18/05/2009,"In office","Uttar Pradesh","Aonla","Bharatiya Janata Party","Female","Inter/ Higher Secondary","I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",56,6,1,212,73%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,21.102670,84.8307683570462,-084.830768
"Mangani Lal Mandal","Elected",18/05/2009,"In office","Bihar","Jhanjharpur","Janata Dal (United)","Male","Post Graduate","M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",64,42,0,223,96%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,24.314496,76.2031297780977,-076.203130
"Manicka Tagore","Elected",18/05/2009,"In office","Tamil Nadu","Virudhunagar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Bangalore University",37,23,0,280,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,09.491790,77.8795782318825,-077.879578
"Manikrao Hodlya Gavit","Elected",18/05/2009,"In office","Maharashtra","Nandurbar","Indian National Congress","Male","Matric",,77,8,0,148,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,21.512900,74.1768412963820,-074.176841
"Manish Tewari","Elected",18/05/2009,"In office","Punjab","Ludhiana","Indian National Congress","Male","Graduate","B.A. (Hons.) Economics, LL.B; Educated at Punjab University, Chandigarh and University of Delhi, New Delhi",46,37,6,309,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,30.789599,75.8651546351826,-075.865155
"Manohar Tirkey","Elected",18/05/2009,"In office","West Bengal","Alipurduars","Revolutionary Socialist Party","Male","Inter/ Higher Secondary","Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal",58,24,0,445,60%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,27.898260,78.0500011481573,-078.050001
"Mansukhbhai D. Vasava","Elected",18/05/2009,"In office","Gujarat","Bharuch","Bharatiya Janata Party","Male","Post Graduate","B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",55,35,0,583,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,21.820145,72.9513676644404,-072.951368
"Marotrao Sainuji Kowase","Elected",18/05/2009,"In office","Maharashtra","Gadchiroli-Chimur","Indian National Congress","Male","Post Graduate","M.A. (Political Science); Educated at Nagpur University, Maharashtra",62,14,0,323,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,19.755759,80.3216829372074,-080.321683
"Mausam Noor","Elected",18/05/2009,"In office","West Bengal","Maldaha Uttar","Indian National Congress","Female","Graduate","LL.B.; Educated at Calcutta University",32,3,0,3,73%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,25.097911,88.1155414611021,-088.115541
"Meena Singh","Elected",18/05/2009,"In office","Bihar","Arrah","Janata Dal (United)","Female","Graduate","B.A.; Educated at Banaras Hindu University (B.H.U.) ",50,21,0,326,88%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,26.264722,87.3677183275931,-087.367718
"Meenakshi Natrajan","Elected",18/05/2009,"In office","Madhya Pradesh","Mandsour","Indian National Congress","Female","Post Graduate","M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",39,14,0,132,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,24.261107,75.4042590453189,-075.404259
"Meira Kumar","Elected",18/05/2009,"In office","Bihar","Sasaram","Indian National Congress","Female","Post Graduate","M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",67,"N/A","N/A","N/A","N/A","As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.922470,84.8066629190808,-084.806663
"Mekapati Rajamohan Reddy","Elected",15/06/2012,"In office","Andhra Pradesh","Nellore","Yuvajana Sramika Rythu Congress Party","Male","Graduate","B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",68,4,0,207,59%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",22.1,0.5,182,77%,12.4,0.4,226,70%,14.312673,79.6706767499845,-079.670677
"Milind Murli Deora","Elected",18/05/2009,"In office","Maharashtra","Mumbai-South","Indian National Congress","Male","Graduate","BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",35,0,0,274,88%,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,77%,12.1,0.8,201,74%,19.111174,72.8761516795260,-072.876152
"Mirza Mehboob Beg","Elected",18/05/2009,"In office","Jammu and Kashmir","Anantnag","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at Srinagar Medical College",63,43,0,17,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,35.4,0,84,89%,33.835510,75.0422212721409,-075.042221
"Mithlesh Kumar","Elected",18/05/2009,"In office","Uttar Pradesh","Shahjahanpur","Samajwadi Party","Male","Graduate","B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",47,18,0,128,88%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,27.964178,79.8513211260471,-079.851321
"Modugula Venugopala Reddy","Elected",18/05/2009,"In office","Andhra Pradesh","Narasaraopet","Telugu Desam Party","Male","Graduate","B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",46,20,0,262,64%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,21.512900,74.1768412963820,-074.176841
"Mohammed Azharuddin","Elected",18/05/2009,"In office","Uttar Pradesh","Moradabad","Indian National Congress","Male","Graduate","B.Com; Educated at Nizam College (Osmania University) ",49,2,0,5,76%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,28.807912,78.6870428986666,-078.687043
"Mohan Jena","Elected",18/05/2009,"In office","Orissa","Jajpur","Biju Janata Dal","Male","Post Graduate","M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",55,21,2,42,74%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,20.873481,86.1554410798511,-086.155441
"Mohinder Singh Kaypee","Elected",18/05/2009,"In office","Punjab","Jalandhar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Punjab University, Chandigarh",55,8,0,4,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,31.292958,75.5377037522838,-075.537704
"Monazir Hassan","Elected",18/05/2009,"In office","Bihar","Begusarai","Janata Dal (United)","Male","Doctorate","M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",55,8,0,23,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,25.513028,86.1258068022256,-086.125807
"Mukul Balkrishna Wasnik","Elected",18/05/2009,"In office","Maharashtra","Ramtek","Indian National Congress","Male","Post Graduate","M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",52,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.775336,79.1265012893445,-079.126501
"Mulayam Singh Yadav","Elected",18/05/2009,"In office","Uttar Pradesh","Mainpuri","Samajwadi Party","Male","Post Graduate","B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",72,94,0,0,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,27.199953,79.0648013703236,-079.064801
"Munde Gopinathrao Pandurang","Elected",18/05/2009,"In office","Maharashtra","Beed","Bharatiya Janata Party","Male","Graduate","B.Com., B.G.L.; Educated at Marathwada and Pune University",62,27,0,286,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20.644564,84.1842907656705,-084.184291
"Munisamy Thambidurai","Elected",18/05/2009,"In office","Tamil Nadu","Karur","All India Anna Dravida Munnetra Kazhagam","Male","Doctorate","M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",65,68,0,265,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,29.715742,76.8580219122405,-076.858022
"Murarilal Singh","Elected",18/05/2009,"In office","Chhattisgarh","Surguja","Bharatiya Janata Party","Male","Inter/ Higher Secondary",,60,3,0,62,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,23.366149,83.2882178797821,-083.288218
"Murli Manohar Joshi","Elected",18/05/2009,"In office","Uttar Pradesh","Varanasi","Bharatiya Janata Party","Male","Doctorate","M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",78,26,0,443,86%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,25.373377,82.9330218085245,-082.933022
"N Cheluvaraya Swamy @ Swamygowda","Elected",18/05/2009,"In office","Karnataka","Mandya","Janata Dal (Secular)","Male","Diploma Course","Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",52,17,0,696,62%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.636323,76.8326451769164,-076.832645
"N. Peethambara Kurup","Elected",18/05/2009,"In office","Kerala","Kollam","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Kerala University, Kerala",70,16,0,120,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,08.966019,76.8723041385066,-076.872304
"N.Dharam Singh","Elected",18/05/2009,"In office","Karnataka","Bidar","Indian National Congress","Male","Post Graduate","MA, LL.B.; Educated at Osmania University, Hyderabad",75,2,0,4,70%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,18.030085,77.1747385387686,-077.174739
"N.S.V. Chitthan","Elected",18/05/2009,"In office","Tamil Nadu","Dindigul","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",78,43,2,312,92%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,10.425948,77.8026704047812,-077.802670
"Nalin Kumar Kateel","Elected",18/05/2009,"In office","Karnataka","Dakshina Kannada","Bharatiya Janata Party","Male","Matric","Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",45,6,0,128,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.821723,75.2217549765702,-075.221755
"Nama Nageswara Rao","Elected",18/05/2009,"In office","Andhra Pradesh","Khammam","Telugu Desam Party","Male","Inter/ Higher Secondary",,55,79,0,326,83%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,17.702136,80.7979331690055,-080.797933
"Namo Narain Meena","Elected",18/05/2009,"In office","Rajasthan","Tonk-Sawai Madhopur","Indian National Congress","Male","Post Graduate","M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",68,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.120446,75.7204385095376,-075.720439
"Narahari Mahato","Elected",18/05/2009,"In office","West Bengal","Purulia","All India Forward Bloc","Male","Post Graduate","B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",56,49,0,487,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,25.779458,87.4287932703334,-087.428793
"Naramalli Sivaprasad","Elected",18/05/2009,"In office","Andhra Pradesh","Chittoor","Telugu Desam Party","Male","Graduate","M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",61,5,0,12,57%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,13.308128,79.0598228866808,-079.059823
"Naranbhai Kachhadia","Elected",18/05/2009,"In office","Gujarat","Amreli","Bharatiya Janata Party","Male","Under Matric","Educated at Charkhadiya, Govt. of Primary School",57,66,0,535,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,21.367140,71.1600580719249,-071.160058
"Narayan Singh Amlabe","Elected",18/05/2009,"In office","Madhya Pradesh","Rajgarh","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Board, Bhopal",61,49,0,114,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,23.868205,76.7158500082723,-076.715850
"Narendra Singh Tomar","Elected",18/05/2009,"In office","Madhya Pradesh","Morena","Bharatiya Janata Party","Male","Graduate","Educated at Jiwaji University, Gwalior, Madhya Pradesh",55,8,0,170,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,26.385228,77.8297873527295,-077.829787
"Natubhai Gomanbhai Patel","Elected",18/05/2009,"In office","Dadra and Nagar Haveli","Dadra and Nagar Haveli","Bharatiya Janata Party","Male","Under Matric",,40,2,0,33,50%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,2,0,33,50%,20.206391,73.0654963861913,-073.065496
"Naveen Jindal","Elected",18/05/2009,"In office","Haryana","Kurukshetra","Indian National Congress","Male","Post Graduate","MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",42,14,0,362,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,30.053263,76.7750475335250,-076.775048
"Navjot Singh Sidhu","Elected",18/05/2009,"In office","Punjab","Amritsar","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.",48,3,0,99,28%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,31.569225,74.9454663389153,-074.945466
"Neeraj Shekhar","Elected",18/05/2009,"In office","Uttar Pradesh","Ballia","Samajwadi Party","Male","Graduate","B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College",43,26,0,554,93%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,25.875768,84.1581610702345,-084.158161
"Nikhil Kumar Choudhary","Elected",18/05/2009,"In office","Bihar","Katihar","Bharatiya Janata Party","Male","Graduate","B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",66,20,0,68,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,25.558248,87.6418273388343,-087.641827
"Nilesh Narayan Rane","Elected",18/05/2009,"In office","Maharashtra","Ratnagiri-Sindhudurg","Indian National Congress","Male","Doctorate","Ph.d; Educated at Mumbai University, Maharashtra",31,8,0,390,74%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,17.281703,73.4488974189791,-073.448897
"Ninong Ering","Elected",18/05/2009,"In office","Arunachal Pradesh","Arunachal East","Indian National Congress","Male","Graduate","B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",53,19,0,25,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,12,0,40,78%,26.264722,87.3677183275931,-087.367718
"Nirmal Khatri","Elected",18/05/2009,"In office","Uttar Pradesh","Faizabad","Indian National Congress","Male","Doctorate","M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",61,34,0,24,98%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.620828,82.0782104814229,-082.078210
"Nishikant Dubey","Elected",18/05/2009,"In office","Jharkhand","Godda","Bharatiya Janata Party","Male","Post Graduate","B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",43,62,4,577,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,24.864735,87.2866479065852,-087.286648
"Nityananda Pradhan","Elected",18/05/2009,"In office","Orissa","Aska","Biju Janata Dal","Male","Post Graduate","M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",67,6,0,522,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,26.264722,87.3677183275931,-087.367718
"Nripendra Nath Roy","Elected",18/05/2009,"In office","West Bengal","Cooch Behar","All India Forward Bloc","Male","Graduate","B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",53,37,0,482,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,10.811212,77.0803906278373,-077.080391
"O. S. Manian","Elected",18/05/2009,"In office","Tamil Nadu","Mayiladuthurai","All India Anna Dravida Munnetra Kazhagam","Male","Inter/ Higher Secondary","P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",58,34,0,20,60%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,26.037995,83.5526322273334,-083.552632
"Om Prakash Yadav","Elected",18/05/2009,"In office","Bihar","Siwan","Independent","Male","Graduate","B.Sc.; Educated at D.A.V. College, Siwan, Bihar",50,25,9,284,71%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,26.130995,84.3968844408803,-084.396884
"P. Balram","Elected",18/05/2009,"In office","Andhra Pradesh","Mahabubabad","Indian National Congress","Male","Graduate","B.A.; Educated at Andhra University, Hyderabad",48,10,0,426,68%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,09.935836,77.9680398324710,-077.968040
"P. C. Mohan","Elected",18/05/2009,"In office","Karnataka","Bangalore Central","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Vijiya College",49,3,0,171,73%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.872321,77.5190177676571,-077.519018
"P. Jaya Prada Nahata","Elected",18/05/2009,"In office","Uttar Pradesh","Rampur","Independent","Female","Graduate","B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",50,19,0,366,31%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,28.775336,79.1265012893445,-079.126501
"P. K. Biju","Elected",18/05/2009,"In office","Kerala","Alathur","Communist Party of India (Marxist)","Male","Post Graduate","M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",38,66,0,317,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,09.487385,76.4871512080153,-076.487151
"P. Karunakaran","Elected",18/05/2009,"In office","Kerala","Kasaragod","Communist Party of India (Marxist)","Male","Post Graduate","M.A.; Educated at M.A. College, Kothamangalam",67,71,0,373,73%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,12.439244,75.1480012892189,-075.148001
"P. Kumar","Elected",18/05/2009,"In office","Tamil Nadu","Tiruchirappalli","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",41,49,0,364,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,10.848333,78.5897937582291,-078.589794
"P. Lingam","Elected",18/05/2009,"In office","Tamil Nadu","Tenkasi","Communist Party of India","Male","Graduate","B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",46,57,0,260,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,30.466121,78.5003437477282,-078.500344
"P. T. Thomas","Elected",18/05/2009,"In office","Kerala","Idukki","Indian National Congress","Male","Post Graduate","M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",61,109,8,338,100%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,09.813233,77.0218446039297,-077.021845
"P. Venugopal","Elected",18/05/2009,"In office","Tamil Nadu","Tiruvallur","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",60,25,0,219,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,08.779547,77.5625727701772,-077.562573
"P. Viswanathan","Elected",18/05/2009,"In office","Tamil Nadu","Kancheepuram","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",48,24,0,460,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,12.632656,79.9139333695192,-079.913933
