"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"M. Veerappa Moily","Elected","18/05/2009","In office","Karnataka","Chikkballapur","Indian National Congress","Male","Graduate","B.A., B.L.; Educated at Government Law College, Bangalore",72,72,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.139027,78.8288824180084,-78.828882
"M. Vijaya Shanthi","Elected","18/05/2009","In office","Andhra Pradesh","Medak","Telangana Rashtra Samithi","Female","Matric","S.S.C.",46,46,0,15,15,0,2,2,0,85,85,"13%",0.33,0.33,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.852374,78.2895506247317,-78.289551
"Madan Lal Sharma","Elected","18/05/2009","In office","Jammu and Kashmir","Jammu","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Govt. Higher Secondary School, Pallanwalla; Jammu & Kashmir",60,60,17,32,32,0,2,2,79,164,164,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",32.765113,74.8722993507674,-74.872299
"Madhu Goud Yaskhi","Elected","18/05/2009","In office","Andhra Pradesh","Nizamabad","Indian National Congress","Male","Post Graduate","B.A., LL.B., LL.M.; Educated at Nizam College, Osmania University; Campus Law Centre, University of Delhi and P.G. College of Law, Osmania University",51,51,11,26,26,0,2,2,410,495,495,"74%",0.94,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",18.540362,78.1010706863931,-78.101071
"Madhu Kora","Elected","18/05/2009","In office","Jharkhand","Singhbhum","Independent","Male","Graduate","Educated at Ignou, Bhubneshwar, Orrisa",41,41,10,25,25,0,2,2,51,136,136,"28%",0.48,0.48,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",16.134732,73.7621937956692,-73.762194
"Madhusudan Yadav","Elected","18/05/2009","In office","Chhattisgarh","Rajnandgaon","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Higher Secondary; Educated at Higher Secondary School, Rajnandgaon, Chattisgarh",42,42,10,25,25,0,2,2,83,168,168,"38%",0.58,0.58,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",20.972465,80.8035729543786,-80.803573
"Magunta Srinivasulu Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Ongole","Indian National Congress","Male","Graduate","B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",58,58,3,18,18,0,2,2,631,716,716,"59%",0.79,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",20.54038,82.5971092113033,-82.597109
"Mahabal Mishra","Elected","18/05/2009","In office","Delhi","West Delhi","Indian National Congress","Male","Inter/ Higher Secondary","Intermediate (Science); Educated at L.S. College Muzaffarpur",59,59,28,43,43,0,2,2,247,332,332,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.5,4.3,226,"96%",28.655411,77.0686999609397,-77.0687
"Mahabali Singh","Elected","18/05/2009","In office","Bihar","Karakat","Janata Dal (United)","Male","Under Matric","High School, Bhagwanpur, Distt. Kaimur",57,57,16,31,31,0,2,2,37,122,122,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",10.915522,79.786328587477,-79.786329
"Mahadeo Singh Khandela","Elected","18/05/2009","In office","Rajasthan","Sikar","Indian National Congress","Male","Post Graduate","M.A. (Eco.); Educated at University of Rajasthan, Jaipur",68,68,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27.66205,75.3892536690303,-75.389254
"Mahendra Kumar Roy","Elected","18/05/2009","In office","West Bengal","Jalpaiguri","Communist Party of India (Marxist)","Male","Graduate","B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri",56,56,31,46,46,0,2,2,133,218,218,"92%",1.12,1.12," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.629214,89.1398618087359,-89.139862
"Mahendrasinh Pruthvisinh Chauhan","Elected","18/05/2009","In office","Gujarat","Sabarkantha","Bharatiya Janata Party","Male","Graduate","B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad",58,58,121,136,136,10,12,12,532,617,617,"99%",1.19,1.19," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",23.776693,73.1916797263807,-73.19168
"Mahesh Joshi","Elected","18/05/2009","In office","Rajasthan","Jaipur","Indian National Congress","Male","Doctorate","M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan",57,57,10,25,25,0,2,2,287,372,372,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",27.151656,75.6050198745121,-75.60502
"Maheshwar Hazari","Elected","18/05/2009","In office","Bihar","Samastipur","Janata Dal (United)","Male","Graduate","B.A.; Educated at V.R.V. College, Samastipur, Bihar",49,49,30,45,45,0,2,2,321,406,406,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.776853,85.9631080150817,-85.963108
"Makhansingh Solanki","Elected","18/05/2009","In office","Madhya Pradesh","Khargone","Bharatiya Janata Party","Male","Under Matric",,60,60,8,23,23,0,2,2,90,175,175,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",17.702136,80.7979331690055,-80.797933
"Mallikarjun Kharge","Elected","18/05/2009","In office","Karnataka","Gulbarga","Indian National Congress","Male","Graduate","B.A., LL.B; Educated at Karnataka University, Karnataka",70,70,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",16.980501,76.8793434202204,-76.879343
"Mallipudi Raju Pallam Mangapati","Elected","18/05/2009","In office","Andhra Pradesh","Kakinada","Indian National Congress","Male","Post Graduate","B.E., M.B.A., F.I.E.T.E.; Educated at Andhra University, Visakhapatnam, India and Temple University, Philadelphia, USA",50,50,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",29.861923,76.4609116486122,-76.460912
"Mamata Banerjee","Elected","18/05/2009","09-10-2011","West Bengal","Kolkata Dakshin","All India Trinamool Congress","Female","Post Graduate","M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",57,57,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.565845,88.3425015162713,-88.342502
"Maneka Gandhi","Elected","18/05/2009","In office","Uttar Pradesh","Aonla","Bharatiya Janata Party","Female","Inter/ Higher Secondary","I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",56,56,6,21,21,1,3,3,212,297,297,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%","20/01/1900",84.8307683570462,-84.830768
"Mangani Lal Mandal","Elected","18/05/2009","In office","Bihar","Jhanjharpur","Janata Dal (United)","Male","Post Graduate","M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",64,64,42,57,57,0,2,2,223,308,308,"96%",1.16,1.16," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",24.314496,76.2031297780977,-76.20313
"Manicka Tagore","Elected","18/05/2009","In office","Tamil Nadu","Virudhunagar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Bangalore University",37,37,23,38,38,0,2,2,280,365,365,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",9.49179,77.8795782318825,-77.879578
"Manikrao Hodlya Gavit","Elected","18/05/2009","In office","Maharashtra","Nandurbar","Indian National Congress","Male","Matric",,77,77,8,23,23,0,2,2,148,233,233,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.5129,74.176841296382,-74.176841
"Manish Tewari","Elected","18/05/2009","In office","Punjab","Ludhiana","Indian National Congress","Male","Graduate","B.A. (Hons.) Economics, LL.B; Educated at Punjab University, Chandigarh and University of Delhi, New Delhi",46,46,37,52,52,6,8,8,309,394,394,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.789599,75.8651546351826,-75.865155
"Manohar Tirkey","Elected","18/05/2009","In office","West Bengal","Alipurduars","Revolutionary Socialist Party","Male","Inter/ Higher Secondary","Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal",58,58,24,39,39,0,2,2,445,530,530,"60%",0.8,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",27.89826,78.0500011481573,-78.050001
"Mansukhbhai D. Vasava","Elected","18/05/2009","In office","Gujarat","Bharuch","Bharatiya Janata Party","Male","Post Graduate","B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",55,55,35,50,50,0,2,2,583,668,668,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",21.820145,72.9513676644404,-72.951368
"Marotrao Sainuji Kowase","Elected","18/05/2009","In office","Maharashtra","Gadchiroli-Chimur","Indian National Congress","Male","Post Graduate","M.A. (Political Science); Educated at Nagpur University, Maharashtra",62,62,14,29,29,0,2,2,323,408,408,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.755759,80.3216829372074,-80.321683
"Mausam Noor","Elected","18/05/2009","In office","West Bengal","Maldaha Uttar","Indian National Congress","Female","Graduate","LL.B.; Educated at Calcutta University",32,32,3,18,18,0,2,2,3,88,88,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.097911,88.1155414611021,-88.115541
"Meena Singh","Elected","18/05/2009","In office","Bihar","Arrah","Janata Dal (United)","Female","Graduate","B.A.; Educated at Banaras Hindu University (B.H.U.) ",50,50,21,36,36,0,2,2,326,411,411,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.264722,87.3677183275931,-87.367718
"Meenakshi Natrajan","Elected","18/05/2009","In office","Madhya Pradesh","Mandsour","Indian National Congress","Female","Post Graduate","M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",39,39,14,29,29,0,2,2,132,217,217,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",24.261107,75.4042590453189,-75.404259
"Meira Kumar","Elected","18/05/2009","In office","Bihar","Sasaram","Indian National Congress","Female","Post Graduate","M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",67,67,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.92247,84.8066629190808,-84.806663
"Mekapati Rajamohan Reddy","Elected","15/06/2012","In office","Andhra Pradesh","Nellore","Yuvajana Sramika Rythu Congress Party","Male","Graduate","B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",68,68,4,19,19,0,2,2,207,292,292,"59%",0.79,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",22.1,0.5,182,"77%",12.4,0.4,226,"70%",14.312673,79.6706767499845,-79.670677
"Milind Murli Deora","Elected","18/05/2009","In office","Maharashtra","Mumbai-South","Indian National Congress","Male","Graduate","BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",35,35,0,15,15,0,2,2,274,359,359,"88%",1.08,1.08,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",12.1,0.8,201,"74%",19.111174,72.876151679526,-72.876152
"Mirza Mehboob Beg","Elected","18/05/2009","In office","Jammu and Kashmir","Anantnag","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at Srinagar Medical College",63,63,43,58,58,0,2,2,17,102,102,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",33.83551,75.0422212721409,-75.042221
"Mithlesh Kumar","Elected","18/05/2009","In office","Uttar Pradesh","Shahjahanpur","Samajwadi Party","Male","Graduate","B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",47,47,18,33,33,0,2,2,128,213,213,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",27.964178,79.8513211260471,-79.851321
"Modugula Venugopala Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Narasaraopet","Telugu Desam Party","Male","Graduate","B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",46,46,20,35,35,0,2,2,262,347,347,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",21.5129,74.176841296382,-74.176841
"Mohammed Azharuddin","Elected","18/05/2009","In office","Uttar Pradesh","Moradabad","Indian National Congress","Male","Graduate","B.Com; Educated at Nizam College (Osmania University) ",49,49,2,17,17,0,2,2,5,90,90,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.807912,78.6870428986666,-78.687043
"Mohan Jena","Elected","18/05/2009","In office","Orissa","Jajpur","Biju Janata Dal","Male","Post Graduate","M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",55,55,21,36,36,2,4,4,42,127,127,"74%",0.94,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.873481,86.1554410798511,-86.155441
"Mohinder Singh Kaypee","Elected","18/05/2009","In office","Punjab","Jalandhar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Punjab University, Chandigarh",55,55,8,23,23,0,2,2,4,89,89,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.292958,75.5377037522838,-75.537704
"Monazir Hassan","Elected","18/05/2009","In office","Bihar","Begusarai","Janata Dal (United)","Male","Doctorate","M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",55,55,8,23,23,0,2,2,23,108,108,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.513028,86.1258068022256,-86.125807
"Mukul Balkrishna Wasnik","Elected","18/05/2009","In office","Maharashtra","Ramtek","Indian National Congress","Male","Post Graduate","M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",52,52,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.775336,79.1265012893445,-79.126501
"Mulayam Singh Yadav","Elected","18/05/2009","In office","Uttar Pradesh","Mainpuri","Samajwadi Party","Male","Post Graduate","B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",72,72,94,109,109,0,2,2,0,85,85,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",27.199953,79.0648013703236,-79.064801
"Munde Gopinathrao Pandurang","Elected","18/05/2009","In office","Maharashtra","Beed","Bharatiya Janata Party","Male","Graduate","B.Com., B.G.L.; Educated at Marathwada and Pune University",62,62,27,42,42,0,2,2,286,371,371,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.644564,84.1842907656705,-84.184291
"Munisamy Thambidurai","Elected","18/05/2009","In office","Tamil Nadu","Karur","All India Anna Dravida Munnetra Kazhagam","Male","Doctorate","M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",65,65,68,83,83,0,2,2,265,350,350,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",29.715742,76.8580219122405,-76.858022
"Murarilal Singh","Elected","18/05/2009","In office","Chhattisgarh","Surguja","Bharatiya Janata Party","Male","Inter/ Higher Secondary",,60,60,3,18,18,0,2,2,62,147,147,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",23.366149,83.2882178797821,-83.288218
"Murli Manohar Joshi","Elected","18/05/2009","In office","Uttar Pradesh","Varanasi","Bharatiya Janata Party","Male","Doctorate","M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",78,78,26,41,41,0,2,2,443,528,528,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.373377,82.9330218085245,-82.933022
"N Cheluvaraya Swamy @ Swamygowda","Elected","18/05/2009","In office","Karnataka","Mandya","Janata Dal (Secular)","Male","Diploma Course","Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",52,52,17,32,32,0,2,2,696,781,781,"62%",0.82,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.636323,76.8326451769164,-76.832645
"N. Peethambara Kurup","Elected","18/05/2009","In office","Kerala","Kollam","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Kerala University, Kerala",70,70,16,31,31,0,2,2,120,205,205,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",8.966019,76.8723041385066,-76.872304
"N.Dharam Singh","Elected","18/05/2009","In office","Karnataka","Bidar","Indian National Congress","Male","Post Graduate","MA, LL.B.; Educated at Osmania University, Hyderabad",75,75,2,17,17,0,2,2,4,89,89,"70%",0.9,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",18.030085,77.1747385387686,-77.174739
"N.S.V. Chitthan","Elected","18/05/2009","In office","Tamil Nadu","Dindigul","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",78,78,43,58,58,2,4,4,312,397,397,"92%",1.12,1.12," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.425948,77.8026704047812,-77.80267
"Nalin Kumar Kateel","Elected","18/05/2009","In office","Karnataka","Dakshina Kannada","Bharatiya Janata Party","Male","Matric","Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",45,45,6,21,21,0,2,2,128,213,213,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.821723,75.2217549765702,-75.221755
"Nama Nageswara Rao","Elected","18/05/2009","In office","Andhra Pradesh","Khammam","Telugu Desam Party","Male","Inter/ Higher Secondary",,55,55,79,94,94,0,2,2,326,411,411,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.702136,80.7979331690055,-80.797933
"Namo Narain Meena","Elected","18/05/2009","In office","Rajasthan","Tonk-Sawai Madhopur","Indian National Congress","Male","Post Graduate","M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",68,68,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.120446,75.7204385095376,-75.720439
"Narahari Mahato","Elected","18/05/2009","In office","West Bengal","Purulia","All India Forward Bloc","Male","Post Graduate","B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",56,56,49,64,64,0,2,2,487,572,572,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.779458,87.4287932703334,-87.428793
"Naramalli Sivaprasad","Elected","18/05/2009","In office","Andhra Pradesh","Chittoor","Telugu Desam Party","Male","Graduate","M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",61,61,5,20,20,0,2,2,12,97,97,"57%",0.77,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",13.308128,79.0598228866808,-79.059823
"Naranbhai Kachhadia","Elected","18/05/2009","In office","Gujarat","Amreli","Bharatiya Janata Party","Male","Under Matric","Educated at Charkhadiya, Govt. of Primary School",57,57,66,81,81,0,2,2,535,620,620,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",21.36714,71.1600580719249,-71.160058
